iso,country_name,GCAM_region_ID,region
abw,Aruba,9,Central America and Caribbean
afg,Afghanistan,27,South Asia
ago,Angola,4,Africa_Southern
aia,Anguilla,9,Central America and Caribbean
alb,Albania,15,Europe_Non_EU
and,Andorra,13,EU-15
ant,Netherlands Antilles,9,Central America and Caribbean
are,United Arab Emirates,21,Middle East
arg,Argentina,31,Argentina
arm,Armenia,10,Central Asia
asm,American Samoa,29,Southeast Asia
atg,Antigua & Barbuda,9,Central America and Caribbean
aus,Australia,6,Australia_NZ
aut,Austria,13,EU-15
aze,Azerbaijan,10,Central Asia
bdi,Burundi,2,Africa_Eastern
bel,Belgium,13,EU-15
ben,Benin,5,Africa_Western
bfa,Burkina Faso,5,Africa_Western
bgd,Bangladesh,27,South Asia
bgr,Bulgaria,12,EU-12
bhr,Bahrain,21,Middle East
bhs,Bahamas,9,Central America and Caribbean
bih,Bosnia and Herzegovina,15,Europe_Non_EU
blr,Belarus,14,Europe_Eastern
blz,Belize,9,Central America and Caribbean
bmu,Bermuda,9,Central America and Caribbean
bol,Bolivia,26,South America_Southern
bra,Brazil,7,Brazil
brb,Barbados,9,Central America and Caribbean
brn,Brunei Darussalam,29,Southeast Asia
btn,Bhutan,27,South Asia
bwa,Botswana,4,Africa_Southern
caf,Central African Republic,5,Africa_Western
can,Canada,8,Canada
cck,Cocos (Keeling) Islands,29,Southeast Asia
che,Switzerland,16,European Free Trade Association
chi,Channel Islands,13,EU-15
chl,Chile,26,South America_Southern
chn,China,11,China
civ,Cote dIvoire,5,Africa_Western
cmr,Cameroon,5,Africa_Western
cod,"Congo, the Democratic Republic of the",5,Africa_Western
cog,Congo,5,Africa_Western
cok,Cook Islands,29,Southeast Asia
col,Colombia,32,Colombia
com,Comoros,2,Africa_Eastern
cpv,Cape Verde,5,Africa_Western
cri,Costa Rica,9,Central America and Caribbean
cub,Cuba,9,Central America and Caribbean
cuw,Curacao,9,Central America and Caribbean
cym,Cayman Islands,9,Central America and Caribbean
cyp,Cyprus,12,EU-12
cxr,Christmas Island,29,Southeast Asia
cze,Czech Republic,12,EU-12
deu,Germany,13,EU-15
dji,Djibouti,2,Africa_Eastern
dma,Dominica,9,Central America and Caribbean
dnk,Denmark,13,EU-15
dom,Dominican Republic,9,Central America and Caribbean
dza,Algeria,3,Africa_Northern
ecu,Ecuador,26,South America_Southern
egy,Egypt,3,Africa_Northern
eri,Eritrea,2,Africa_Eastern
esh,Western Sahara,3,Africa_Northern
esp,Spain,13,EU-15
est,Estonia,12,EU-12
eth,Ethiopia,2,Africa_Eastern
fin,Finland,13,EU-15
fji,Fiji,29,Southeast Asia
flk,Falkland Islands (Malvinas),13,EU-15
fra,France,13,EU-15
fro,Faroe Islands,13,EU-15
fsm,"Micronesia, Federated States of",29,Southeast Asia
gab,Gabon,5,Africa_Western
gbr,United Kingdom,13,EU-15
geo,Georgia,10,Central Asia
ggy,Guernsey,13,EU-15
gha,Ghana,5,Africa_Western
gib,Gibraltar,13,EU-15
gin,Guinea,5,Africa_Western
glp,Guadeloupe,9,Central America and Caribbean
gmb,Gambia,5,Africa_Western
gnb,Guinea-Bissau,5,Africa_Western
gnq,Equatorial Guinea,5,Africa_Western
grc,Greece,13,EU-15
grd,Grenada,9,Central America and Caribbean
grl,Greenland,13,EU-15
gtm,Guatemala,9,Central America and Caribbean
guf,French Guiana,25,South America_Northern
gum,Guam,29,Southeast Asia
guy,Guyana,25,South America_Northern
hkg,Hong Kong,11,China
hnd,Honduras,9,Central America and Caribbean
hrv,Croatia,15,Europe_Non_EU
hti,Haiti,9,Central America and Caribbean
